latitude,longitude,OBJECTID,CASE_1,CASE_2,CASE_3,SYMBOL,TIME_ZONE
47.157646,-121.670676,"25",Y,,,"1",A
47.158946,-121.659491,"13",Y,Y,,"2",A
47.156748,-121.668651,"13",Y,Y,,"2",A
47.157183,-121.668277,"13",Y,Y,,"2",A
47.160599,-121.663543,"25",Y,,,"1",A
47.15723,-121.669116,"13",Y,Y,,"2",A
47.16277623,-121.96386979,"30",Y,,,"1",D
47.16138249,-121.96373686,"30",Y,,,"1",D
47.15798011,-121.96932828,"30",Y,,,"1",D
47.16240576,-121.96486371,"30",Y,,,"1",D
47.16059419,-121.96374322,"30",Y,,,"1",D
47.16013324,-121.96387177,"30",Y,,,"1",D
47.16193538,-121.9637314,"30",Y,,,"1",D
47.15638637,-121.95451447,"30",Y,,,"1",D
47.16250473,-121.9675232,"30",Y,,,"1",D
47.1628362,-121.9722516,"30",Y,,,"1",D
47.16181652,-121.96899076,"30",Y,,,"1",D
47.1617329,-121.9637334,"30",Y,,,"1",D
47.16230783,-121.9643751,"30",Y,,,"1",D
47.15840609,-121.96515614,"30",Y,,,"1",D
47.15688825,-121.95723766,"30",Y,,,"1",D
47.16110094,-121.96082856,"30",Y,,,"1",D
47.16112437,-121.96290268,"30",Y,,,"1",D
47.16331433,-121.97273909,"30",Y,,,"1",D
47.16329101,-121.97122358,"30",Y,,,"1",D
47.15927764,-121.96154933,"30",Y,,,"1",D
47.15937872,-121.9626395,"30",Y,,,"1",D
47.16271746,-121.96857564,"30",Y,,,"1",D
47.16219955,-121.97073185,"30",Y,,,"1",D
47.16194794,-121.96234241,"30",Y,,,"1",D
47.16040754,-121.96191286,"30",Y,,,"1",D
47.15969524,-121.96042646,"30",Y,,,"1",D
47.15947679,-121.9599202,"30",Y,,,"1",D
47.15999184,-121.96094946,"30",Y,,,"1",D
47.25989697,-122.25601423,"31",Y,Y,,"2",
47.259871,-122.25624007,"31",Y,Y,,"2",
47.25987228,-122.25644399,"31",Y,Y,,"2",
47.2598735,-122.25665358,"31",Y,Y,,"2",
47.25987514,-122.25682919,"31",Y,Y,,"2",
47.25987279,-122.25701603,"31",Y,Y,,"2",
47.25987779,-122.25723138,"31",Y,Y,,"2",
47.25987536,-122.25742388,"31",Y,Y,,"2",
47.25987279,-122.25762769,"31",Y,Y,,"2",
47.25987015,-122.25783717,"31",Y,Y,,"2",
47.2599164,-122.25824778,"31",Y,Y,,"2",
47.25977088,-122.25817897,"31",Y,Y,,"2",
47.25960619,-122.25815743,"31",Y,Y,,"2",
47.25944884,-122.25810537,"31",Y,Y,,"2",
47.25953119,-122.25781096,"31",Y,Y,,"2",
47.25954182,-122.25757905,"31",Y,Y,,"2",
47.25954039,-122.25738645,"31",Y,Y,,"2",
47.25952754,-122.25718221,"31",Y,Y,,"2",
47.25953404,-122.25697284,"31",Y,Y,,"2",
47.25950591,-122.25675686,"31",Y,Y,,"2",
47.25954731,-122.25653144,"31",Y,Y,,"2",
47.25956986,-122.25627153,"31",Y,Y,,"2",
47.25959641,-122.2560004,"31",Y,Y,,"2",
47.25923274,-122.25611249,"31",Y,Y,,"2",
47.25917172,-122.25635133,"31",Y,Y,,"2",
47.25912569,-122.25663892,"31",Y,Y,,"2",
47.25912234,-122.25690501,"31",Y,Y,,"2",
47.2591192,-122.25715412,"31",Y,Y,,"2",
47.25911563,-122.2574372,"31",Y,Y,,"2",
47.25911228,-122.25770329,"31",Y,Y,,"2",
47.25910892,-122.25796938,"31",Y,Y,,"2",
47.25886324,-122.25788341,"31",Y,Y,,"2",
47.25885896,-122.25761145,"31",Y,Y,,"2",
47.25885125,-122.25730541,"31",Y,Y,,"2",
47.25883332,-122.25698282,"31",Y,Y,,"2",
47.2588586,-122.25672228,"31",Y,Y,,"2",
47.25890463,-122.25643469,"31",Y,Y,,"2",
47.25899977,-122.25612728,"31",Y,Y,,"2",
47.25900978,-122.25588523,"31",Y,Y,,"2",
47.25867229,-122.25590168,"31",Y,Y,,"2",
47.25853739,-122.25589801,"31",Y,Y,,"2",
47.25838329,-122.25588816,"31",Y,Y,,"2",
47.25850032,-122.2562212,"31",Y,Y,,"2",
47.25847109,-122.25640984,"31",Y,Y,,"2",
47.25845449,-122.25662099,"31",Y,Y,,"2",
47.2584726,-122.25684333,"31",Y,Y,,"2",
47.25846831,-122.25709678,"31",Y,Y,,"2",
47.25846175,-122.25731181,"31",Y,Y,,"2",
47.25846396,-122.25752909,"31",Y,Y,,"2",
47.25846801,-122.25776128,"31",Y,Y,,"2",
47.25844667,-122.25797913,"31",Y,Y,,"2",
47.25893952,-122.25851131,"31",Y,Y,,"2",
47.25986558,-122.25881118,"31",Y,Y,,"2",
47.26210021,-122.24999501,"31",Y,Y,,"2",
47.26210478,-122.24971429,"31",Y,Y,,"2",
47.26210607,-122.24943232,"31",Y,Y,,"2",
47.26210736,-122.24915035,"31",Y,Y,,"2",
47.26210866,-122.24886839,"31",Y,Y,,"2",
47.26210995,-122.24858643,"31",Y,Y,,"2",
47.26211125,-122.24830446,"31",Y,Y,,"2",
47.26211253,-122.2480225,"31",Y,Y,,"2",
47.26211383,-122.24774053,"31",Y,Y,,"2",
47.26210814,-122.24746347,"31",Y,Y,,"2",
47.26219526,-122.24693628,"31",Y,Y,,"2",
47.26242839,-122.24684616,"31",Y,Y,,"2",
47.26263611,-122.24687965,"31",Y,Y,,"2",
47.26283348,-122.24687715,"31",Y,Y,,"2",
47.26259298,-122.24745632,"31",Y,Y,,"2",
47.26259191,-122.24773301,"31",Y,Y,,"2",
47.26259046,-122.24801497,"31",Y,Y,,"2",
47.26258901,-122.24829694,"31",Y,Y,,"2",
47.26258756,-122.24857892,"31",Y,Y,,"2",
47.26258609,-122.24886089,"31",Y,Y,,"2",
47.15236846,-121.68956822,"13",Y,Y,,"2",A
47.26609115,-122.24462267,"32",Y,,,"1",
47.26594831,-122.24461629,"32",Y,,,"1",
47.26577628,-122.24460406,"32",Y,,,"1",
47.26561266,-122.24460724,"32",Y,,,"1",
47.26545912,-122.24463093,"32",Y,,,"1",
47.26607801,-122.244296,"32",Y,,,"1",
47.26591267,-122.24429913,"32",Y,,,"1",
47.26575935,-122.24430512,"32",Y,,,"1",
47.26560613,-122.24430352,"32",Y,,,"1",
47.26515406,-122.24465676,"32",Y,,,"1",
47.26482608,-122.24468476,"32",Y,,,"1",
47.26485223,-122.24448591,"32",Y,,,"1",
47.26515332,-122.24447761,"32",Y,,,"1",
47.26517812,-122.24415932,"32",Y,,,"1",
47.26483187,-122.24425923,"32",Y,,,"1",
47.2648368,-122.24410207,"32",Y,,,"1",
47.26521602,-122.24405382,"32",Y,,,"1",
47.26514016,-122.24380927,"32",Y,,,"1",
47.26513977,-122.24366016,"32",Y,,,"1",
47.26542671,-122.24378153,"32",Y,,,"1",
47.2655086,-122.24378908,"32",Y,,,"1",
47.26570624,-122.24378469,"32",Y,,,"1",
47.26582236,-122.24377471,"32",Y,,,"1",
47.26597988,-122.24378333,"32",Y,,,"1",
47.26610486,-122.24377795,"32",Y,,,"1",
47.2663345,-122.24371667,"32",Y,,,"1",
47.2662785,-122.244004,"32",Y,,,"1",
47.26633431,-122.2441395,"32",Y,,,"1",
47.26810796,-122.25618644,"31",Y,Y,,"2",
47.26810865,-122.25594999,"31",Y,Y,,"2",
47.2680245,-122.25526284,"31",Y,Y,,"2",
47.26785874,-122.25519961,"31",Y,Y,,"2",
47.26767219,-122.25519944,"31",Y,Y,,"2",
47.26753104,-122.25529838,"31",Y,Y,,"2",
47.26751748,-122.25558185,"31",Y,Y,,"2",
47.26764476,-122.25579085,"31",Y,Y,,"2",
47.282825,-122.257098,"32",Y,,,"1",
47.283044,-122.257103,"32",Y,,,"1",
47.283263,-122.257112,"32",Y,,,"1",
47.282852,-122.256673,"32",Y,,,"1",
47.282843,-122.25629,"32",Y,,,"1",
47.283046,-122.256678,"32",Y,,,"1",
47.283047,-122.256276,"32",Y,,,"1",
47.283265,-122.256682,"32",Y,,,"1",
47.283268,-122.256281,"32",Y,,,"1",
47.283486,-122.256687,"32",Y,,,"1",
47.283488,-122.256285,"32",Y,,,"1",
47.283706,-122.256325,"32",Y,,,"1",
47.26917754,-122.23524165,"32",Y,,,"1",
47.26904221,-122.23522807,"32",Y,,,"1",
47.26890978,-122.23525438,"32",Y,,,"1",
47.2687675,-122.23525555,"32",Y,,,"1",
47.26846764,-122.23511465,"32",Y,,,"1",
47.26849874,-122.23531342,"32",Y,,,"1",
47.26849998,-122.2355221,"32",Y,,,"1",
47.26363821,-122.24349052,"32",Y,,,"1",
47.26360921,-122.24322538,"32",Y,,,"1",
47.26358991,-122.24290878,"32",Y,,,"1",
47.26359917,-122.2425855,"32",Y,,,"1",
47.26377915,-122.24256646,"32",Y,,,"1",
47.2639565,-122.24255263,"32",Y,,,"1",
47.26414174,-122.24256312,"32",Y,,,"1",
47.26415914,-122.24288889,"32",Y,,,"1",
47.26329295,-122.24469178,"32",Y,,,"1",
47.26329221,-122.24437879,"32",Y,,,"1",
47.26329299,-122.24408797,"32",Y,,,"1",
47.26329462,-122.24379806,"32",Y,,,"1",
47.26329758,-122.24350798,"32",Y,,,"1",
47.26333858,-122.24319845,"32",Y,,,"1",
47.26329698,-122.24290963,"32",Y,,,"1",
47.26304025,-122.2428853,"32",Y,,,"1",
47.26280218,-122.24292511,"32",Y,,,"1",
47.26275814,-122.24321943,"32",Y,,,"1",
47.26280228,-122.24353517,"32",Y,,,"1",
47.26280164,-122.24382264,"32",Y,,,"1",
47.26280066,-122.24411061,"32",Y,,,"1",
47.26279897,-122.24440234,"32",Y,,,"1",
47.26279531,-122.24471085,"32",Y,,,"1",
47.26248297,-122.24473282,"32",Y,,,"1",
47.26248193,-122.24444599,"32",Y,,,"1",
47.26248282,-122.24416419,"32",Y,,,"1",
47.26248407,-122.24388451,"32",Y,,,"1",
47.26248522,-122.24360611,"32",Y,,,"1",
47.26248626,-122.24332703,"32",Y,,,"1",
47.26248709,-122.24304555,"32",Y,,,"1",
47.26248862,-122.24276134,"32",Y,,,"1",
47.26249195,-122.24244943,"32",Y,,,"1",
47.2627482,-122.24249973,"32",Y,,,"1",
47.26294863,-122.24249806,"32",Y,,,"1",
47.26314845,-122.24249559,"32",Y,,,"1",
47.26335244,-122.24250716,"32",Y,,,"1",
47.26372454,-122.2421677,"32",Y,,,"1",
47.2637029,-122.24181094,"32",Y,,,"1",
47.2634784,-122.24174258,"32",Y,,,"1",
47.26324991,-122.24180184,"32",Y,,,"1",
47.26304686,-122.24180435,"32",Y,,,"1",
47.26284357,-122.24180755,"32",Y,,,"1",
47.26263919,-122.24181065,"32",Y,,,"1",
47.26243769,-122.24180957,"32",Y,,,"1",
47.26812735,-122.23651067,"32",Y,,,"1",
47.26792047,-122.23651494,"32",Y,,,"1",
47.26771395,-122.2365197,"32",Y,,,"1",
47.26750792,-122.23652423,"32",Y,,,"1",
47.26730197,-122.23652883,"32",Y,,,"1",
47.26709648,-122.23653347,"32",Y,,,"1",
47.26689164,-122.23653806,"32",Y,,,"1",
47.26667782,-122.23654229,"32",Y,,,"1",
47.26668015,-122.23585569,"32",Y,,,"1",
47.26689516,-122.23585069,"32",Y,,,"1",
47.26710403,-122.23591517,"32",Y,,,"1",
47.26730989,-122.23590953,"32",Y,,,"1",
47.26751593,-122.23590465,"32",Y,,,"1",
47.26772169,-122.23589908,"32",Y,,,"1",
47.26792745,-122.23589419,"32",Y,,,"1",
47.26813275,-122.23588851,"32",Y,,,"1",
47.28693028,-122.24875738,"32",Y,,,"1",
47.28195032,-122.23670557,"32",Y,,,"1",
47.28927821,-122.24481574,"32",Y,,,"1",
47.28816443,-122.24715906,"32",Y,,,"1",
47.28825979,-122.24218306,"32",Y,,,"1",
47.28966964,-122.23859412,"32",Y,,,"1",
47.29362686,-122.23862511,"32",Y,,,"1",
47.29467128,-122.23745463,"32",Y,,,"1",
47.26176734,-122.2434277,"32",Y,,,"1",
47.26157888,-122.24342391,"32",Y,,,"1",
47.26137283,-122.24351291,"32",Y,,,"1",
47.26118362,-122.2434193,"32",Y,,,"1",
47.26116326,-122.24302326,"32",Y,,,"1",
47.2611939,-122.24266051,"32",Y,,,"1",
47.26138026,-122.24257332,"32",Y,,,"1",
47.26158349,-122.24267404,"32",Y,,,"1",
47.26176884,-122.24266977,"32",Y,,,"1",
47.26878982,-122.23915195,"32",Y,,,"1",
47.26897744,-122.23915699,"32",Y,,,"1",
47.26916767,-122.23914141,"32",Y,,,"1",
47.26935529,-122.23914645,"32",Y,,,"1",
47.26954739,-122.23916884,"32",Y,,,"1",
47.26973271,-122.23917037,"32",Y,,,"1",
47.28291469,-122.24971154,"32",Y,,,"1",
47.27725745,-122.24143841,"32",Y,,,"1",
47.27881364,-122.24492772,"32",Y,,,"1",
47.28552379,-122.2482985,"32",Y,,,"1",
47.27334125,-122.23799934,"32",Y,,,"1",
47.28406162,-122.24971828,"32",Y,,,"1",
47.28305169,-122.24723355,"32",Y,,,"1",
47.28291434,-122.24750968,"32",Y,,,"1",
47.2745115,-122.23425475,"32",Y,,,"1",
47.2828652,-122.24932122,"32",Y,,,"1",
47.28286962,-122.24908938,"32",Y,,,"1",
47.28287379,-122.24846268,"32",Y,,,"1",
47.27859169,-122.23578427,"32",Y,,,"1",
47.28036947,-122.2386568,"32",Y,,,"1",
47.2826675,-122.24104796,"32",Y,,,"1",
47.27849288,-122.23739981,"32",Y,,,"1",
47.2819152,-122.23514059,"32",Y,,,"1",
47.26249885,-122.2408743,"32",Y,,,"1",
47.26275997,-122.24082863,"32",Y,,,"1",
47.26299864,-122.24086037,"32",Y,,,"1",
47.26300385,-122.24048926,"32",Y,,,"1",
47.26335697,-122.24079609,"32",Y,,,"1",
47.26335514,-122.24039486,"32",Y,,,"1",
47.26361371,-122.24035839,"32",Y,,,"1",
47.26388749,-122.24035297,"32",Y,,,"1",
47.26416175,-122.24034625,"32",Y,,,"1",
47.26443668,-122.24031226,"32",Y,,,"1",
47.26249762,-122.24033927,"32",Y,,,"1",
47.26287504,-122.23995672,"32",Y,,,"1",
47.26310131,-122.23979827,"32",Y,,,"1",
