Unnamed: 0,PARCEL_NO,ADDRESS1,CITY,STATE,ZIP,BLDG_VALUE,LAND_VALUE,TOTAL_VALU,LAT,LONG,LOOKUP,SUCCESS,is_threatened
11007,99800666000,1358 ALONDA LN NE,OLYMPIA,WA,98516,15500.0,0.0,15500.0,47.05805,-122.82558,1,1,
11008,99800666100,7300 32ND AVE NE # 36,OLYMPIA,WA,98516,18700.0,0.0,18700.0,0.0,0.0,1,0,
11009,99800666700,1708 ALONDA LN NE,OLYMPIA,WA,98516,15800.0,0.0,15800.0,47.06078,-122.82463,1,1,
11010,99800668200,4500 MARTIN WAY E # 21,OLYMPIA,WA,98516,20300.0,0.0,20300.0,0.0,0.0,1,0,
11011,99800670100,4500 MARTIN WAY E # 19,OLYMPIA,WA,98516,9000.0,0.0,9000.0,0.0,0.0,1,0,
11012,99800670800,1707 ALONDA LN NE,OLYMPIA,WA,98516,30000.0,0.0,30000.0,47.06,-122.82425,1,1,
11013,99800671100,4500 MARTIN WAY E # 12,OLYMPIA,WA,98516,15000.0,0.0,15000.0,0.0,0.0,1,0,
11014,99800671200,7300 32ND AVE NE # 13,OLYMPIA,WA,98516,12800.0,0.0,12800.0,0.0,0.0,1,0,
11015,99800672100,6748 FIR TREE RD SE # 10,OLYMPIA,WA,98513,1800.0,0.0,1800.0,46.96419,-122.81814,1,1,
11016,99800686400,8103 MARTIN WAY E # 49,OLYMPIA,WA,98516,8500.0,0.0,8500.0,0.0,0.0,1,0,
11017,99800696000,12711 YELM HWY SE,LACEY,WA,98513,2000.0,0.0,2000.0,46.99625,-122.81937,1,1,
11018,99800698200,8309 83RD AVE SE,OLYMPIA,WA,98513,15100.0,0.0,15100.0,46.96704,-122.84495,1,1,
11019,99800699100,6748 FIR TREE RD SE # 33,OLYMPIA,WA,98513,1800.0,0.0,1800.0,0.0,0.0,1,0,
11020,99800702400,4500 MARTIN WAY E # 108,OLYMPIA,WA,98516,12600.0,0.0,12600.0,0.0,0.0,1,0,
11021,99800702900,7138 ENGLEWOOD DR SE # 4,OLYMPIA,WA,98513,12000.0,0.0,12000.0,0.0,0.0,1,0,
11022,99800728500,1410 ALONDA LN NE,OLYMPIA,WA,98516,18100.0,0.0,18100.0,47.05823,-122.82524,1,1,
11023,99800730800,10900 KUHLMAN RD SE TRLR 87,OLYMPIA,WA,98513,4800.0,0.0,4800.0,0.0,0.0,1,0,
11024,99800737000,3414 STOLL RD SE #28,OLYMPIA,WA,98516,3300.0,0.0,3300.0,0.0,0.0,1,0,
11025,99800738200,17025 HANNUS RD SE,YELM,WA,98597,29500.0,0.0,29500.0,0.0,0.0,1,0,
11026,99800740100,1550 DRAHAM RD NE,OLYMPIA,WA,98516,1900.0,0.0,1900.0,0.0,0.0,1,0,
11027,99800743600,8510 MARTIN WAY E # 39,OLYMPIA,WA,98516,13600.0,0.0,13600.0,0.0,0.0,1,0,
11028,99800763000,8510 MARTIN WAY E #41,LACEY,WA,98516,11200.0,0.0,11200.0,0.0,0.0,1,0,
11029,99800777800,4500 MARTIN WAY E TRLR 105,OLYMPIA,WA,98516,9500.0,0.0,9500.0,0.0,0.0,1,0,
11030,99800778400,4500 MARTIN WAY E TRLR 73,OLYMPIA,WA,98516,5400.0,0.0,5400.0,0.0,0.0,1,0,
11031,99800785300,5706 CRYSTAL CT SE,LACEY,WA,98513,1900.0,0.0,1900.0,46.99669,-122.80428,1,1,
11032,99800786100,4500 MARTIN WAY E TRLR 95,OLYMPIA,WA,98516,6300.0,0.0,6300.0,0.0,0.0,1,0,
11033,99800788000,4500 MARTIN WAY E # 113,OLYMPIA,WA,98516,8300.0,0.0,8300.0,0.0,0.0,1,0,
11034,99800789900,6748 FIR TREE RD # 56,OLYMPIA,WA,98513,6000.0,0.0,6000.0,0.0,0.0,1,0,
11035,99800793200,4500 MARTIN WAY E # 61,OLYMPIA,WA,98516,12200.0,0.0,12200.0,0.0,0.0,1,0,
11036,99800802900,4500 MARTIN WAY E # 67,OLYMPIA,WA,98516,5900.0,0.0,5900.0,0.0,0.0,1,0,
11037,99800804700,4500 MARTIN WAY E # 94,OLYMPIA,WA,98516,10900.0,0.0,10900.0,0.0,0.0,1,0,
11038,99800809900,4500 MARTIN WAY E # 15,OLYMPIA,WA,98516,7200.0,0.0,7200.0,0.0,0.0,1,0,
11039,99800810300,7838 E MARTIN WY 7,OLYMPIA,WA,98516,1100.0,0.0,1100.0,0.0,0.0,1,0,
11040,99800811100,6200 FAIR OAKS RD SE # 1,OLYMPIA,WA,98513,1600.0,0.0,1600.0,0.0,0.0,1,0,
11041,99800811900,4500 MARTIN WAY E # 86,OLYMPIA,WA,98516,6000.0,0.0,6000.0,0.0,0.0,1,0,
11042,99800821100,4500 MARTIN WAY E # 92,OLYMPIA,WA,98516,11800.0,0.0,11800.0,0.0,0.0,1,0,
11043,99800825800,7838 MARTIN WAY NE # 9,OLYMPIA,WA,98516,1400.0,0.0,1400.0,0.0,0.0,1,0,
11044,99800838200,7300 32ND AVE NE #28,OLYMPIA,WA,98516,31900.0,0.0,31900.0,0.0,0.0,1,0,
11045,99800838900,4500 MARTIN WAY E # 52,OLYMPIA,WA,98516,18300.0,0.0,18300.0,0.0,0.0,1,0,
11046,99800840900,9400 MULLEN RD SE TRLR 8,OLYMPIA,WA,98513,4700.0,0.0,4700.0,0.0,0.0,1,0,
11047,99800843800,4500 E MARTIN WAY 4,OLYMPIA,WA,98516,7600.0,0.0,7600.0,0.0,0.0,1,0,
11048,99800847600,4500 MARTIN WAY E # 100,OLYMPIA,WA,98516,5400.0,0.0,5400.0,0.0,0.0,1,0,
11049,99800852700,16546 123RD AVE SE,YELM,WA,98597,2200.0,0.0,2200.0,0.0,0.0,1,0,
11050,99800852800,11747 MORRIS RD SE,YELM,WA,98597,10200.0,0.0,10200.0,46.91903,-122.59041,1,1,
11051,99800854900,4500 MARTIN WAY E # 57,OLYMPIA,WA,98516,8600.0,0.0,8600.0,0.0,0.0,1,0,
11052,99800859200,4500 MARTIN WAY E # 60,OLYMPIA,WA,98516,11600.0,0.0,11600.0,0.0,0.0,1,0,
11053,99800874600,4500 MARTIN WAY E # 74,OLYMPIA,WA,98516,6600.0,0.0,6600.0,0.0,0.0,1,0,
11054,99800874800,4500 MARTIN WAY E # 64,OLYMPIA,WA,98516,5900.0,0.0,5900.0,0.0,0.0,1,0,
11055,99800883400,4500 MARTIN WAY E # 80,OLYMPIA,WA,98516,21600.0,0.0,21600.0,0.0,0.0,1,0,
11056,99800893200,6814 MARTIN WAY # 7,OLYMPIA,WA,98516,1400.0,0.0,1400.0,0.0,0.0,1,0,
11057,99800898200,4500 MARTIN WAY E # 85,OLYMPIA,WA,98516,1900.0,0.0,1900.0,0.0,0.0,1,0,
11058,99800898800,4500 MARTIN WAY E # 78,OLYMPIA,WA,98516,10400.0,0.0,10400.0,0.0,0.0,1,0,
11059,99800905900,4500 MARTIN WAY E # 59,OLYMPIA,WA,98516,11500.0,0.0,11500.0,0.0,0.0,1,0,
11060,99800915300,4500 MARTIN WAY E # 88,OLYMPIA,WA,98516,10400.0,0.0,10400.0,0.0,0.0,1,0,
11061,99800916200,4500 MARTIN WAY E # 76,OLYMPIA,WA,98516,10100.0,0.0,10100.0,0.0,0.0,1,0,
11062,99800919500,10900 KUHLMAN RD SE TRLR 38,OLYMPIA,WA,98513,1700.0,0.0,1700.0,0.0,0.0,1,0,
11063,99800920600,4500 MARTIN WAY E # 36,OLYMPIA,WA,98516,5700.0,0.0,5700.0,0.0,0.0,1,0,
11064,99800923600,4500 MARTIN WAY E # 56,OLYMPIA,WA,98516,3700.0,0.0,3700.0,0.0,0.0,1,0,
11065,99800928400,4500 MARTIN WAY E # 55,OLYMPIA,WA,98516,10000.0,0.0,10000.0,0.0,0.0,1,0,
