latitude,longitude
47.327354,-122.231053
47.32053,-122.22926
47.320538,-122.230934
47.323713,-122.23141
47.322836,-122.23138
47.332561,-122.233729
47.332553,-122.233171
47.332099,-122.230774
47.329606,-122.230983
47.328179,-122.230987
47.328767,-122.228819
47.191395,-122.059358
47.192329,-122.073647
47.194171,-122.079237
47.195197,-122.079503
47.197133,-122.06468999999998
47.192433,-122.059347
47.191057,-122.07584
47.193914,-122.076049
47.192698,-122.06961
47.31404000000001,-122.252046
47.314245,-122.251867
47.314535,-122.251803
47.314822,-122.251592
47.315133,-122.251437
47.314932,-122.254132
47.314538,-122.254836
47.314811,-122.254735
47.314125,-122.254622
47.313523,-122.254695
47.313373,-122.254962
47.313029,-122.25471
47.312819,-122.254744
47.313986,-122.254264
47.314229,-122.253845
47.314504,-122.253755
47.314232,-122.253373
47.198815,-121.962998
47.198843,-121.962391
47.198241,-121.962492
47.279847,-122.16033600000002
47.279846,-122.159932
47.279847,-122.15953600000002
47.279846,-122.159154
47.27946,-122.159141
47.279462,-122.159524
47.279463,-122.159916
47.279463,-122.16032
47.279417,-122.158757
47.279411,-122.158161
47.279284,-122.157796
47.279126,-122.157451
47.27935,-122.156925
47.279567,-122.157138
47.279661,-122.157532
47.279792,-122.157874
47.279836,-122.158363
47.279875,-122.158793
47.219112,-121.453627
47.28270993,-122.30216874
47.28271236,-122.30189941
47.28267172,-122.30167335
47.28310694,-122.30139728
47.28324681,-122.30132323
47.28342542,-122.3013117
47.28360601,-122.30130107
47.28380399,-122.30141831
47.2841351,-122.30129452
47.28312367,-122.30187893
47.2831238,-122.30217623
47.28334956,-122.30202229
47.28351361,-122.30199231
47.28367561,-122.30194264
47.28385111,-122.30188593
47.28403967,-122.30177272
47.28423282,-122.30163388
47.28442719,-122.30151103
47.28461729,-122.3012748
47.28604960000001,-122.30074248
47.28586756,-122.30081077
47.2856811,-122.30095167
47.28550969,-122.30103841
47.28535903,-122.30120612
47.2851726,-122.30134262
47.28530502,-122.30218408
47.28547418,-122.30216384
47.28563754,-122.30206931
47.28601542,-122.30218913
47.2860376,-122.30246133
47.28600488,-122.30274692
47.28578811,-122.30276594
47.28557209,-122.30276722
47.28535522,-122.30277064
47.28515389,-122.30277232
47.28500494,-122.30266173
47.28495269,-122.30240587
47.28494636,-122.30213622
47.28357922,-122.30270647
47.28339024,-122.30277591
47.28319373,-122.30277317
47.2830026,-122.30277539
47.28281046,-122.30277839
47.28261971,-122.30277963
47.2854417,-122.29796668
47.2856393,-122.29793842
47.28584973,-122.29792249
47.28602701,-122.29797524
47.28602793,-122.29834836
47.28593841,-122.29861172
47.28575335,-122.29870333
47.28548635,-122.29853774
47.28548105,-122.29880803
47.28550094,-122.2990644
47.28554634,-122.29931874
47.28574496,-122.29904209
47.28599597,-122.29910027
47.28604026,-122.29947392
47.28594775,-122.2997869
47.28568721,-122.29986337
47.28581443,-122.30020882
47.28602583,-122.30010598
47.2845233,-122.301055
47.28448167,-122.30080096
47.28448999,-122.30054812
47.28448875,-122.30029685
47.28443706,-122.30000057
47.28446751,-122.29967061
47.28466358,-122.29960432
47.28486046,-122.29965701
47.28497837,-122.29991279
47.28500803,-122.30018369
47.28491189,-122.30044197
47.28490470000001,-122.30083528
47.28507887,-122.30068718
47.28525501,-122.30056219
47.28546306,-122.30046814
47.28537597,-122.3002125
47.28529011,-122.2999648
47.28520312,-122.29971538
47.28510581,-122.29947217
47.28504964,-122.29923774
47.28505336,-122.29897974
47.28505103,-122.29871479
47.28505092,-122.29844863
47.28505027,-122.29817794
47.28504704,-122.29789022
47.20630052,-122.00260461
47.20607236,-122.00261566
47.16501414,-121.98002615
47.16592834,-121.98592519
47.16860002,-121.99087939
47.16660232,-121.99213813
47.16542096,-121.97890164
47.16441381,-121.97466948
47.16658822,-121.98347078
47.16362195,-121.97526940000002
47.16402395,-121.97805604
47.16350945,-121.97683693
47.16504357,-121.97704601
47.16545776,-121.97529986
47.16442525,-121.97879253
47.16656646,-121.98186279
47.16606309,-121.98068496
47.16596733,-121.98003834
47.25630866,-122.10233826
47.25718019,-122.10769779
47.25052852,-122.10243541
47.25689747,-122.12142737
47.25223121,-122.11932014
47.25091202,-122.11247529
47.24637281,-122.12178511
47.24642576,-122.11404686
47.24958141,-122.11120866
47.24320793,-122.10226837
47.24864842,-122.11597381
47.2560915,-122.11200329
47.24808477,-122.11646042
47.24872079,-122.11968422
47.25332355,-122.11374119
47.24686550000001,-122.11593752
47.25706203,-122.11252872
47.25503494,-122.12273653
47.25422936,-122.12270117
47.24333805,-122.11301872
47.25576358,-122.12245662
47.24640982,-122.11545273
47.2506194,-122.10949276
47.25100109,-122.10778428
47.25305718,-122.11012831
47.25442869,-122.11272774
47.24419732,-122.11996432
47.24374535,-122.10372497
47.24547523,-122.11497694
47.25415682,-122.1021371
47.25490083,-122.10226419
47.251536,-122.11415393
47.25269576,-122.1126141
47.25710267,-122.10600125
47.25202501,-122.10364235
47.25155645,-122.10218853
47.24609081,-122.10233963
47.25245521,-122.10254052
47.25038999,-122.11283463
47.25222879,-122.11324449
47.24536755,-122.11540567
47.25410881,-122.12227747
47.25289706,-122.10413977
47.25702267,-122.10220028
47.24668786,-122.10303133
47.24475501,-122.11472951
47.24447836,-122.11646656
47.25193376,-122.11558583
47.25266011,-122.10765633
47.25496515,-121.97940314
47.25267778,-121.98015735
47.25042243,-121.97602561
47.2531874,-121.98907337
47.25028902,-121.98516417
47.24890642,-121.98833385
47.2467073,-121.99425166
47.24592591,-121.99032920000002
47.24311076,-121.98934317
47.24414469,-121.98105617
47.24475457,-121.97458072
47.24593894,-121.9894789
47.24744768,-121.99032684
47.25286093,-121.97503838
47.24302031,-121.99012581
47.253339,-121.99073866
47.25178437,-121.99065757
