area_code_list,bounds_east,bounds_north,bounds_south,bounds_west,common_city_list,county,housing_units,land_area_in_sqmi,lat,lng,major_city,median_home_value,median_household_income,occupied_housing_units,population,population_density,post_office_city,radius_in_miles,water_area_in_sqmi,zipcode,zipcode_type
['360'],-123.460148,46.444018,46.298859,-123.64377,['Grays River'],Wahkiakum County,133.0,42.02,46.35,-123.58,Grays River,182500.0,26176.0,115.0,276.0,7.0,"Grays River, WA",5.0,0.07,98621,Standard
['360'],-123.882292,46.477197,46.259292,-124.086473,['Ilwaco'],Pacific County,924.0,33.9,46.4,-124.0,Ilwaco,216500.0,42500.0,721.0,1532.0,45.0,"Ilwaco, WA",12.0,22.42,98624,Standard
['360'],-122.585831,46.141739,45.953795,-122.881327,['Kalama'],Cowlitz County,2652.0,80.52,46.1,-122.6,Kalama,212700.0,59654.0,2391.0,6133.0,76.0,"Kalama, WA",18.0,1.84,98625,Standard
['360'],-122.611189,46.260098,46.043219,-122.927911,['Kelso'],Cowlitz County,10088.0,136.45,46.1,-122.7,Kelso,161200.0,44636.0,9382.0,24523.0,180.0,"Kelso, WA",13.0,0.92,98626,Standard
['509'],-121.05082,45.914016,45.809364,-121.175332,['Klickitat'],Klickitat County,194.0,8.87,45.83,-121.1,Klickitat,118800.0,28125.0,157.0,385.0,43.0,"Klickitat, WA",4.0,0.0,98628,Standard
['360'],-122.511553,45.931636,45.824885,-122.72196,['La Center'],Clark County,3038.0,38.67,45.9,-122.6,La Center,287100.0,74724.0,2871.0,8364.0,216.0,"La Center, WA",7.0,0.17,98629,Standard
['360'],-123.973453,46.464883,46.325812,-124.067854,['Long Beach'],Pacific County,3201.0,15.54,46.39,-124.03,Long Beach,178100.0,44116.0,1613.0,3243.0,209.0,"Long Beach, WA",6.0,10.77,98631,Standard
['360'],-122.866234,46.333211,46.045974,-123.240393,['Longview'],Cowlitz County,21383.0,129.13,46.2,-123.1,Longview,177900.0,42930.0,19985.0,49205.0,381.0,"Longview, WA",11.0,8.17,98632,Standard
['509'],-121.051545,45.827094,45.639299,-121.378153,['Lyle'],Klickitat County,927.0,128.28,45.7,-121.2,Lyle,194700.0,35027.0,773.0,1735.0,14.0,"Lyle, WA",14.0,2.16,98635,Standard
['360'],-123.458028,46.471662,46.234949,-123.960962,['Naselle'],Pacific County,705.0,168.84,46.4,-123.7,Naselle,172300.0,47813.0,581.0,1525.0,9.0,"Naselle, WA",21.0,18.48,98638,Standard
['360'],-123.954992,46.717195,46.445314,-124.086886,['Ocean Park'],Pacific County,4939.0,20.28,46.5,-124.0,Ocean Park,166800.0,37308.0,2248.0,4380.0,216.0,"Ocean Park, WA",10.0,44.02,98640,Standard
['360'],-122.606945,45.873171,45.730401,-122.795963,['Ridgefield'],Clark County,5991.0,57.09,45.8,-122.7,Ridgefield,330800.0,78108.0,5672.0,15696.0,275.0,"Ridgefield, WA",7.0,2.99,98642,Standard
['360'],-123.491395,46.356246,46.250956,-123.716727,['Rosburg'],Wahkiakum County,219.0,36.43,46.31,-123.64,Rosburg,174100.0,42000.0,169.0,362.0,10.0,"Rosburg, WA",6.0,4.51,98643,Standard
['360'],-122.724504,46.375381,46.270323,-122.824849,['Silverlake'],Cowlitz County,657.0,14.9,46.32,-122.79,Silverlake,174100.0,55903.0,542.0,1429.0,96.0,"Silverlake, WA",6.0,2.49,98645,Standard
['360'],-123.319439,46.383693,46.238197,-123.555638,['Skamokawa'],Wahkiakum County,200.0,61.2,46.3,-123.4,Skamokawa,122900.0,26375.0,159.0,404.0,7.0,"Skamokawa, WA",10.0,2.84,98647,Standard
['509'],-121.671177,45.798895,45.584215,-122.140327,['Stevenson'],Skamania County,1541.0,123.18,46.0,-121.9,Stevenson,280000.0,53009.0,1304.0,3100.0,25.0,"Stevenson, WA",41.0,9.22,98648,Standard
['360'],-122.302165,46.387805,46.226725,-122.785643,['Toutle'],Cowlitz County,377.0,199.35,46.2,-122.5,Toutle,162900.0,67589.0,336.0,895.0,4.0,"Toutle, WA",19.0,0.04,98649,Standard
['509'],-121.41628,46.044525,45.835352,-121.612828,['Trout Lake'],Klickitat County,528.0,82.2,45.9,-121.5,Trout Lake,296200.0,49375.0,391.0,959.0,12.0,"Trout Lake, WA",10.0,0.04,98650,Standard
