latitude,longitude
46.925788077733294,-122.81079887228998
46.926026698887796,-122.81099132062
46.9417804242424,-122.621553545455
47.0838552738948,-122.758652002513
47.0913702210766,-122.759882099993
47.0630842,-122.82900520000001
46.929821999999994,-122.584149
47.0451022,-122.89500749999999
47.0895733444308,-122.743307747799
47.091165000000004,-122.792524
47.042764,-122.804526
47.042764,-122.804526
47.042764,-122.804526
47.042764,-122.804526
47.042764,-122.804526
47.042764,-122.804526
47.042764,-122.804526
47.042764,-122.804526
47.035304,-122.89238449999999
46.935437,-122.61883799999998
46.985631,-122.74893200000001
47.103818324796,-122.76877203409599
47.073541770366404,-122.82080276567301
46.853041499999996,-122.45912240000001
46.983653000000004,-122.819686
47.1358400523284,-122.825949082859
47.0455159,-122.8286382
47.1250387189103,-122.81600922545601
47.1250372514734,-122.81639746733102
47.1213373194584,-122.80715818103201
47.1207994259445,-122.80716057471001
47.1255807580645,-122.817616532258
47.125053,-122.817618
47.124937,-122.819194
47.124937,-122.819194
47.1250322211297,-122.82083756522499
47.1261764459459,-122.817855878378
47.1260914121622,-122.817856114865
47.1248660820041,-122.82073978494101
47.1248669715927,-122.820860118906
47.12166615151521,-122.817868151515
47.1215643939394,-122.817868393939
47.121597313131296,-122.81762731313101
47.11956605697829,-122.81574694374201
47.119507,-122.817753
47.119507,-122.817753
47.1187707287449,-122.817631068826
47.11822411740889,-122.817630238866
47.119401467747004,-122.81569826293199
47.1194447895687,-122.82155959719499
47.11944452737121,-122.821509255275
47.11945042681501,-122.822641948479
47.1172613355705,-122.817869778524
47.1175265436242,-122.817870181208
47.1172392348993,-122.81786974496599
47.117349738254994,-122.817869912752
47.12493,-122.81773899999999
47.1193783405124,-122.813683582377
47.117776954980705,-122.80743683696001
46.930415,-122.5871207
47.1062512860139,-122.784922414877
46.9882489395973,-122.81607104698
47.0831375690934,-122.758407272641
46.9914188,-122.826213
46.9914188,-122.826213
46.9914188,-122.826213
46.9914188,-122.826213
46.9914188,-122.826213
46.9914188,-122.826213
46.9914188,-122.826213
46.9914188,-122.826213
